RFID,Site,Notes
011017113D,H,Nestling from BOX 21-1 H 2019;feather taken 2019
011016B272,H,Feather taken 2019
011016CFBC,H,feather taken 2019
011016AF70,H,feather taken 2019
011016BF2F,H,feather taken 2019
011016EF4A,H,feather taken 2019
01103F39F2,H,feather taken 2019
011016EAEB,H,feather taken 2019
01101723F3,H,Nestling from BOX B6 H 2019;feather taken 2019
011016D154,H,feather taken 2019
011016BD4F,H,feather taken 2019
011016F3EE,H,feather taken 2019
011016F551,H,feather taken 2019
011016CC48,H,feather taken 2019
011016A35C,H,feather taken 2019
011016E0EC,H,feather taken 2019
01101704D2,H,Nestling from BOX 41 H 2019;feather taken 2019
01103F6C0F,H,feather taken 2019
011016C2C4,H,feather taken 2019
01103F399C,H,feather taken 2019
011016A92C,H,feather taken 2019
0110172CF6,H,Nestling from BOX 10 H 2018;feather taken 2019
011016ADC1,H,feather taken 2019
011016D163,H,feather taken 2019
0700EDE399,H,feather taken 2019
011017A528,H,feather taken 2019
0110174182,H,Nestling from BOX 13 H 2018;feather taken 2019
011017A318,H,feather taken 2019
011017A4CC,H,feather taken 2019
0700EE1EDA,H,feather taken 2019
0700ED902C,H,feather taken 2019
011017A0B6,H,feather taken 2019
01101797D6,H,feather taken 2019
0700EE3EBF,H,feather taken 2019
0700EE0EA8,H,feather taken 2019
0700EE1892,H,feather taken 2019
011017A1AA,H,feather taken 2019
0700EE084F,H,Nestling from BOX B9 H 2018;feather taken 2019
0700EDD4F2,H,Nestling from BOX 26 H 2018;feather taken 2019
0700EDBE06,H,feather taken 2019
0700EE06DC,H,Nestling from BOX 6A H 2019;feather taken 2019
0700EDC331,H,feather taken 2019
0700EDFDEB,H,Nestling from BOX 43-2 H 2018;feather taken 2019
0700EE2DB0,H,feather taken 2019
0700EDA30F,H,feather taken 2019
01101795DD,H,feather taken 2019
0700EDF0D5,H,Nestling from BOX 12A H 2018;feather taken 2019
0700EDA581,H,feather taken 2019
0700EE02EC,H,feather taken 2019
0700ED8963,H,feather taken 2019
0110179C0E,H,feather taken 2019
