Date,Site,Feeder,RFID,ColorBands,SilverBands,Sex,WingLength,Mass,BID,Maturity
1/24/2016,H,F3H,0700EDBB92,LB/R;BlackPT,,M,75,,,
1/24/2016,H,F3H,0700ED905A,O/R;BlackPT,,,69.5,,,
1/24/2016,H,F1H,0700EDF801,R;GreyPT,,F,67,,,
1/24/2016,H,F3H,0700ED8D3F,R/Black;BlackPT,,,69,,,
1/24/2016,H,F1H,0700EE13E8,R/Black;GreyPT,,,72,,,
1/24/2016,H,F1H,0700EE1C1F,R/Blue;GreyPT,,,72,,,
1/24/2016,H,F3H,0700EE0053,R/G;BlackPT,,M,74,,,
1/24/2016,H,F1H,0700EDA431,R/G;GreyPT,,,71.5,,,
1/24/2016,H,F3H,0700EE2B53,R/Grey;BlackPT,,,71,,,
1/24/2016,H,F1H,0700EE0BA3,R/Grey;GreyPT,,M,76,,,
1/24/2016,H,F1H,0700EE2BF7,R/LB;GreyPT,,,69,,,
1/24/2016,H,F1H,0700EE1227,R/O;GreyPT,,M,74,,,
1/24/2016,H,F1H,0700EDF2B4,R/R;GreyPT,,,72,,,
1/24/2016,H,F1H,0700EE1DFC,R/Y;GreyPT,,,70,,,
1/24/2016,H,F3H,0700EDF646,Y/R;BlackPT,,M,74,,,
6/30/2016,H,BOX B12 H,0700EE4471,GreyPT;G/R,,M,69,,H403; H623,adult
6/30/2016,H,BOX B12 H,0700EE3453,GreyPT;Black/R,,F,67.5,,H404; H627; H767,adult
7/4/2016,H,BOX 1-3 H,0700ED9667,GreyPT;Grey/R,,M,70,,H413; H697,adult
7/4/2016,H,BOX 44 H,0700EDA16F,O/R;GreyPT,,M,71,,H414,adult
7/4/2016,H,BOX 1-3 H,0700EE42EC,Y/R;GreyPT,,F,69.5,,H415,adult
7/5/2016,H,BOX 22-1 H,0700EE3311,Black/R;GreyPT,,F,67,,H427,adult
7/5/2016,H,BOX 21 H,0700EDFC8B,Blue/R;GreyPT,,F,66,,H424,adult
7/5/2016,H,BOX B31 H,0700ED8A15,Blue/W;RPT,,M,72,,H423,adult
7/5/2016,H,BOX 28-1 H,0700EE2E34,G/R;GreyPT,,M,70,,H426,adult
7/5/2016,H,BOX 15 H,0700EDCD66,Grey/R;GreyPT,,F,66,,H428,adult
7/5/2016,H,BOX 28-1 H,0700EE2E31,LB/R;GreyPT,,F,68,,H425; H625,adult
7/6/2016,H,BOX 43-1 H,0700EDA99B,RPT;W,,F,67,,H429,adult
7/6/2016,H,BOX 41 H,0700ED918A,RPT;W/R,,F,67.5,,H430,adult
7/6/2016,H,BOX 17-1 H,0700EE0329,RPT;W/O,,M,73,,H431,adult
7/6/2016,H,BOX 14A H,0700EDADFA,RPT;W/Blue,,M,73,,H432,adult
7/6/2016,H,BOX 14A H,0700EE0C9C,RPT;W/LB,,F,68.5,,H433,adult
7/6/2016,H,BOX 32 H,0700EDB8AA,RPT;W/G,,F,67,,H447,adult
7/9/2016,H,BOX B28 H,0700EE287D,RPT;W/Grey,,F,69,,H495; H810,adult
7/27/2016,H,BOX 25 H,0700EE355F,GREENPT;R/S2720-43702,2720-43702,F,66,11.36,H614; H650,adult
10/26/2016,H,F2H,011017A327,R/S2740-25660;WPT,2740-25660,M,70,11.96,H545; H806,juv
10/26/2016,H,F3H,0700EE0395,RPT;W/W,,F,67,10.35,H541,
10/26/2016,H,F4H,0700EE4300,W;RPT,,M,70,11.53,H542,
10/26/2016,H,F2H,0700EE00BC,W/O;RPT,,M,69.5,11.97,H544,
10/26/2016,H,F4H,0700ED9084,W/R;RPT,,F,66.5,10.8,H543; H638,
11/4/2016,H,F2H,0700EDED4B,W/Blue;RPT,,M,73,11.89,H546,
11/7/2016,H,F4H,011017A5AA,S2740-25910/R;PurplePT,2740-25910,,69.5,11.43,H549,juv
11/7/2016,H,F4H,0110179DFA,R/S2740-25870;GreenPT,2740-25870,F,67,11.95,H550,juv
11/7/2016,H,F3H,0700EDE028,S2740-25696/O;PurplePT,2740-25696,M,70,11.92,H554; H811,juv
11/7/2016,H,F4H,0700EE0D3C,W/Black;RPT,,M,69.5,11.8,H551,
11/7/2016,H,F4H,0700EDA702,W/G;RPT,,M,70,11.63,H548,
11/7/2016,H,F3H,0700EDDD07,W/Grey;RPT,,M,74,12.61,H553,
11/7/2016,H,F4H,0700EDCB97,W/LB;RPT,,F,66,10.8,H547; H771,
11/7/2016,H,F3H,0700EDC0C6,W/W;RPT,,F,67,11.29,H552; H798,
11/9/2016,H,F2H,0700ED9813,R/S2740-25815;PurplePT,2740-25815,,71,11.67,H559,juv
11/9/2016,H,F3H,0700EE2513,RPT;Blue/W,,F,66,10.63,H557,
11/9/2016,H,F2H,0700EE1303,RPT;LB/W,,F,66,10.42,H558,
11/9/2016,H,F2H,0700EE0457,RPT;O/W,,,72,12.77,H556,
11/9/2016,H,F2H,0700EDBFAD,RPT;R/W,,M,72,11.5,H555; H634; H685,
11/14/2016,H,F6H,0700EE32A9,S2740-25803/Grey;RPT,2740-25803,M,67.5,11.46,H561,juv
11/14/2016,H,F3H,0700EDEDAE,O/W;RPT,,,68,10.47,H564,
11/14/2016,H,F6H,0700EE1E1B,RPT;Black/W,,F,67,10.69,,
11/14/2016,H,F5H,0700EE3C13,RPT;G/W,,F,66.5,10.36,H560,
11/14/2016,H,F3H,0700EE3CC0,RPT;Grey/W,,,68,11.62,H562,
11/14/2016,H,F3H,0700EDFD30,R/W;RPT,,M,68.5,11.81,H563,
11/14/2016,H,F6H,0700EE2914,LB/W;RPT,,,70,12.11,H565,
11/21/2016,H,F2H,0700EDABF7,B/S2740-25745;RPT,2740-25745,F,67.5,11.71,H705,juv
11/21/2016,H,F1H,0700EE159B,Black/W;RPT,,F,67,11.29,,
11/21/2016,H,F4H,0700EDB70E,S2540-39389/Black;RPT,2540-39389,F,69,,H626,adult
11/21/2016,H,F4H,011017999B,S2740-25754/Y;PurplePT,2740-25754,F,65.5,,,juv
11/21/2016,H,F4H,0700ED8BD1,BPT;W/R,,F,65.5,,H766,
11/21/2016,H,F4H,0700EDD65F,BPT;R/W,,M,72,,H631,
11/21/2016,H,F4H,0700EDD4DE,BlackPT;W/R,,M,75,,H689,
11/21/2016,H,F4H,0700EE3A1B,BlackPT;R/W,,M,73,,H703,
11/21/2016,H,F2H,0700ED9998,G/W;RPT,,F,68.5,11.56,H768,
11/21/2016,H,F3H,0700EDD4E1,GreyPT;W/R,,,68,,,
11/21/2016,H,F4H,0700EE13D5,GreyPT;R/W,,,69.5,,,
11/21/2016,H,F4H,0700EE44D2,Grey/W;RPT,,,71.5,,H671,
11/21/2016,H,F4H,0700EE2E26,YPT;W/R,,,72,,,
11/24/2016,H,F4H,0700EDF740,YPT;R/W,,,72,,H701,
11/30/2016,H,F4H,0700EDF308,LB/S2740-25692;RPT,2740-25692,,70,,,juv
11/30/2016,H,F2H,0700EE1819,S2740-25746/G;PurplePT,2740-25746,F,66.5,,,juv
11/30/2016,H,F1H,0700EDF321,S2740-25866/LB;PurplePT,2740-25866,M,71,,,juv
11/30/2016,H,F3H,011017A4B0,GreenPT;R/W,,,69,,H702,
11/30/2016,H,F3H,0700EE0049,GreenPT;W/R,,,71,,,
11/30/2016,H,F3H,01101799BB,PurplePT;R/W,,F,66,,,
11/30/2016,H,F1H,010799F978,PurplePT;W/R,,F,68,,H683,
11/30/2016,H,F2H,01101798A9,WhitePT;R/W,,M,72.5,,H796,
11/30/2016,H,F1H,011017A21B,WhitePT;W/R,,M,68,,H776,
12/4/2016,H,F2H,011017A009,S2740-25858/B;PurplePT,2740-25858,F,67,,,juv
12/4/2016,H,F2H,0110179607,S2740-25296/Grey;PurplePT,2740-25296,,69,,,adult
12/4/2016,H,F3H,0700EE2B4B,R/W;BPT,,,69,,,
12/4/2016,H,F1H,0700EDC865,W/R;BPT,,,68.5,,,
12/4/2016,H,F2H,0700EDB951,W/R;BlackPT,,,69.5,,,
12/7/2016,H,F1H,0700EDC722,R/W;BlackPT,,,69.5,,,
12/7/2016,H,F1H,0700EDC75C,R/W;GreyPT,,M,69.5,,H643; H793,
12/7/2016,H,F2H,0700ED9947,W/R;GreyPT,,F,64,,H628,
12/19/2016,H,F1H,0700EDB111,S2740-25743/Black;PurplePT,2740-25743,F,70,,H704,juv
12/19/2016,H,F5H,0700EDB721,W/S2740-25786;PurplePT,2740-25786,M,70,13.84,H646,juv
12/19/2016,H,F2H,0110179E70,Y/S2740-25818;PurplePT,2740-25818,M,71,,H804,juv
12/19/2016,H,F5H,01101796A6,R/W;WhitePT,,F,70,,,
12/19/2016,H,F5H,0700EDD2A3,R/W;YPT,,F,68,,H775,
12/19/2016,H,F5H,011017A6FE,W/R;WhitePT,,,69,,,
12/19/2016,H,F2H,0700EE23A2,W/R;YPT,,,69,,,
12/22/2016,H,F3H,011017A0B3,W/R;GreenPT,,,70,,,
12/22/2016,H,F1H,011017A0B1,R/W;GreenPT,,F,66,,H658,
12/22/2016,H,F1H,011017A69C,W/R;PurplePT,,F,65,,,
12/22/2016,H,F2H,011017A28B,R/W;PurplePT,,M,72,,H777,
12/22/2016,H,F5H,011017A7C7,WhitePT;R,,,70,,,
12/22/2016,H,F1H,0110170296,WhitePT;R/R,,M,72.5,,,
12/22/2016,H,F1H,011017A409,WhitePT;R/O,,,69,,,
12/22/2016,H,F4H,0110179BAB,WhitePT;R/Y,,M,66.5,,H772,
12/22/2016,H,F2H,0700EDF46D,GREEN/S2740-25836;PurplePT,2740-25836,F,67,,,juv
12/22/2016,H,F2H,01101799F5,WhitePT;R/Blue,,F,65.5,,,
12/22/2016,H,F2H,011017A00A,WhitePT;R/LB,,F,66.5,,,
12/26/2016,H,F2H,01101719DA,WhitePT;R/G,,,69,,,
12/26/2016,H,F2H,011017A32E,WhitePT;R/Black,,,70,,,
12/30/2016,H,F1H,011017A3DB,PurplePT;LB/S2740-25642,2740-25642,M,69,,H673,juv
12/30/2016,H,F4H,011017A5EF,WhitePT;R/Grey,,,68,,,
12/30/2016,H,F4H,011017A53F,R;WhitePT,,M,73,,,
12/30/2016,H,F3H,011017A58E,R/R;WhitePT,,,72,,,
7/9/2017,H,BOX 28-1A H,0110179C34,R/O;WhitePT,,F,65,,H624,
