Site,RFID Date,ColorBands,SilverBands,RFIDold,RFIDnew,Mass,WingLength,BloodSample,Feeder,Sex,MaturityTOIC,KnownHistory,Notes,Recap from pre-2015,Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,3/21/2015,Blue/Grey;RPT,,030001E59A,,12.27,69.5,H336,F3H,F,,,Recaptured 8/21/15 with Black/LG;RPT (0700EE34A2),,,,,BOX 29-1 H,BOX UNKNOWN,N,N,N,Y,N,N,N,N,Y,Y,,,,,,,Y-F3H 8/21; F3H 10/2,
H,3/21/2015,Blue/O;RPT,,03000336E9,,12.74,72,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,3/21/2015,Blue/Y;RPT,,0700EE2010,,,67,,F3H,F,,,DUPLICATE COLOR CODE,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,6/18/2015,RPT;LG/Blue,,030002F09C,,,69,H47,BOX B11 H,F,adult,,,,,,BOX B5-1; BOX B9 H,BOX B5-1 H,BOX B11 H,N,N,N,N,,N,N,Y,N,,,,,,,,,
H,6/18/2015,RPT;LB/Blue,,03000241BF,,,65.5,H61,BOX B30 H,F,adult,,,,,,,,BOX B30 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/18/2015,RPT;G/Blue,,0700EE429E,,,71,H62,BOX B30 H,M,adult,,,,,,,,BOX B30 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/23/2015,RPT;Y/Blue,,030003A2AF,,,66,H46,BOX B5-1 H,F,adult,,,,,,,BOX B5-1 H,BOX B5-1 H,N,N,N,N,,N,N,N,N,,,,,,,,Y-F1H 11/4/15,
H,6/24/2015,Black/Blue;RPT,,030002434A,,,66,H50,BOX 13 H,F,adult,,,,,,,,BOX 13 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/24/2015,G/Blue;RPT,,0700EE085D,,,69,H52,BOX 7 H,F,adult,,,,,,,,BOX 7 H,N,N,N,N,,N,Y,N,N,,,,,,,,,
H,6/24/2015,LB/Blue;RPT,,0700EDFA13,,,73,H51,BOX 7 H,M,adult,,,,,,,,BOX 7 H,N,N,N,N,,N,N,N,N,,,,,,,,Y - F2H 10/7; F2H 10/14,
H,6/24/2015,LG/Blue;RPT,,0700EDDE2F,0700EDA221,,74,H53,BOX 33_4 H,M,adult,,,,BOX 32 H,BOX 33-2 H,BOX 20 H,BOX 17-2 H; BOX 18 H,BOX 33-4 H,Y,Y,Y,Y,,Y,Y,Y,Y,,Y-HEAR 3,,F5H 10/02,,,Y-F4H 12/26/2016,,
H,6/24/2015,RPT;O/Blue,,0700EDF8A1,,,65.5,H48,BOX 1 H,F,adult,,,,,,BOX 18A H,BOX 8A H,BOX 1 H,N,N,Y,Y,,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,F1H 12/13,,Y-F1H 9/7/15; F1H 9/21/15; F1H 10/7,
H,6/24/2015,RPT;Grey/Blue,,0300026CA0,,,67,H49; H691,BOX 4A H,F,adult,,,,,BOX 4A H,BOX 5A H,BOX 4A H,BOX 4A H,N,N,N,N,,N,N,N,Y,,Y-HEAR 1,,,,F2H 9/8; F1H 12/22/17,,Y-F1H 10/30/15,
H,6/24/2015,Y/Blue;RPT,,0300019F10,,,67,H60,BOX 33_4 H,F,adult,,,,,,,BOX 17-2 H; BOX 18 H,BOX 33-4 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/26/2015,Grey/Blue;RPT,,0300034DB4,,,69,H64,BOX 14 H,F,adult,,,,,,,BOX 17-1 H,BOX 14 H,N,N,N,N,,N,N,N,N,,,,,,,Y-F2H 12/22/2016,,
H,6/26/2015,O/Blue;RPT,,0700EE3582,0700EE20B2,,70,H63; H816,BOX 14 H,M,adult,,,,BOX 18-3 H,BOX 13 H,BOX 15 H,BOX 33 H,BOX 14 H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/26/2015,RPT;G/LB,,030001EA7A,,,71,H66,BOX 12A H,M,adult,,,,,,,,BOX 12A H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/26/2015,RPT;G/LG,,0700EE3BE9,,,71,H67,BOX 12A H,F,adult,,,,,,,,BOX 12A H,N,N,N,N,,N,N,N,N,,,,,,,,,
H,6/26/2015,RPT;G/Black,,0700EE0D2C,,,70,H68,BOX 8A H,M,adult,,,,,,,,BOX 8A H,N,N,N,Y,,N,N,N,Y,,,,,,,,Y-F1H 9/7; F2 11/11,
